codigo,descricao,grupo
03.01.01.007-2,INTUBACAO OROTRAQUEAL,PROCEDIMENTOS DIAGNOSTICOS
07.01.06.001-0,VENTILACAO MECANICA INVASIVA,TERAPIA INTENSIVA
06.04.15.001-0,SEDOANALGESIA EM UTI,TERAPIA INTENSIVA
04.01.01.004-3,HEMOGRAMA COMPLETO,EXAMES LABORATORIAIS
04.01.01.062-0,HEMOCULTURA,EXAMES LABORATORIAIS
06.04.15.002-8,CATETER VENOSO CENTRAL,TERAPIA INTENSIVA
04.01.01.027-2,GASOMETRIA ARTERIAL,EXAMES LABORATORIAIS
03.03.05.010-4,RAIO-X DE TORAX PORTATIL,DIAGNOSTICO POR IMAGEM
04.02.01.001-4,ELETROCARDIOGRAMA,PROCEDIMENTOS DIAGNOSTICOS
04.01.01.043-4,TROPONINA,EXAMES LABORATORIAIS
03.03.06.004-8,ECOCARDIOGRAMA A BEIRA LEITO,DIAGNOSTICO POR IMAGEM
06.04.15.003-6,CATETER ARTERIAL PARA MONITORIZAÇÃO,TERAPIA INTENSIVA
06.04.15.004-4,SONDAGEM VESICAL DE DEMORA,TERAPIA INTENSIVA
03.03.10.002-9,TOMOGRAFIA COMPUTADORIZADA DE CRANIO SEM CONTRASTE,DIAGNOSTICO POR IMAGEM
03.03.10.003-7,TOMOGRAFIA COMPUTADORIZADA DE CRANIO COM CONTRASTE,DIAGNOSTICO POR IMAGEM
04.01.01.033-7,LACTATO,EXAMES LABORATORIAIS
04.01.01.035-3,PROTEINA C REATIVA,EXAMES LABORATORIAIS
03.03.07.001-4,ULTRASSOM ABDOMINAL,DIAGNOSTICO POR IMAGEM
06.02.01.001-6,HEMOTRANSFUSAO DE CONCENTRADO DE HEMACIAS,HEMATOLOGIA
03.03.10.008-8,TOMOGRAFIA COMPUTADORIZADA DE TORAX SEM CONTRASTE,DIAGNOSTICO POR IMAGEM
06.04.15.005-2,MONITORIZAÇÃO DE PRESSAO INTRACRANIANA,TERAPIA INTENSIVA
04.01.01.050-7,LIQUIDO CEFALORRAQUIDIANO - ANALISE,EXAMES LABORATORIAIS
04.02.01.007-3,ELETROENCEFALOGRAMA,PROCEDIMENTOS DIAGNOSTICOS
06.04.15.006-0,SONDA NASOENTERAL,TERAPIA INTENSIVA
06.04.07.001-3,HEMODIALISE,TERAPIA RENAL SUBSTITUTIVA
04.01.01.009-4,UREIA,EXAMES LABORATORIAIS
04.01.01.011-6,CREATININA,EXAMES LABORATORIAIS
04.01.01.058-2,ALBUMINA SERICA,EXAMES LABORATORIAIS
06.04.01.003-5,CURATIVO COMPLEXO,CIRURGIA
03.01.06.010-3,ENXERTIA DE PELE,CIRURGIA
06.04.15.007-9,NUTRICAO PARENTERAL TOTAL,TERAPIA NUTRICIONAL
03.03.10.012-5,ANGIOTOMOGRAFIA DE VASOS CEREBRAIS,DIAGNOSTICO POR IMAGEM
03.03.09.001-6,DOPPLER TRANSCRANIANO,DIAGNOSTICO POR IMAGEM
04.01.01.020-5,GLICEMIA,EXAMES LABORATORIAIS
04.01.01.016-7,POTASSIO SERICO,EXAMES LABORATORIAIS
06.04.15.008-7,REPOSICAO DE ALBUMINA HUMANA,TERAPIA INTENSIVA
03.03.05.014-7,RAIO-X DE TORAX POS-OPERATORIO,DIAGNOSTICO POR IMAGEM
04.02.01.005-7,ECOCARDIOGRAMA TRANSESOFAGICO,PROCEDIMENTOS DIAGNOSTICOS
06.04.15.009-5,CATETER DE SWAN-GANZ,TERAPIA INTENSIVA
04.01.01.040-0,COAGULOGRAMA,EXAMES LABORATORIAIS
06.04.15.010-9,VENTILACAO NAO INVASIVA,TERAPIA INTENSIVA
04.01.01.070-1,PAINEL VIRAL RESPIRATORIO,EXAMES LABORATORIAIS
04.01.01.041-8,PROCALCITONINA,EXAMES LABORATORIAIS
03.03.07.003-0,ULTRASSOM RENAL,DIAGNOSTICO POR IMAGEM
